RECIPE NAME,RECIPE CODE,CATEGORY,RESTAURANT,FINAL PRICE,MERIDES,HIDE FROM APP,RECIPE INGREDIENTS,RECIPE COST,RECIPE COST composite,RECIPE COST / MERIDES,VAT,VAT 13%,VAT 13% composite,TOTAL,TOTAL/MERIDA,TOTAL / MERIDA composite,x3,x4,INGREDIENTS,OIK104 MENU INGREDIENTS,OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS copy,OIK512 MENU_,COMMON OR REMOVE (from OIK512 MENU_),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS copy
ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,,ΟΡΕΚΤΙΚΑ,OIK104,"€5,0",1,,"ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ","0,51","0,51","0,51",13,"0,07","0,07","0,58","0,58","0,58","1,74","2,32",,,,,ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,,"ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ, ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ, ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ, ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ, ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ, ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ",
ΝΤΑΚΟΣ,,ΣΑΛΑΤΕΣ,OIK512,,1,,"ΝΤΑΚΟΣ,ΝΤΑΚΟΣ,ΝΤΑΚΟΣ,ΝΤΑΚΟΣ,ΝΤΑΚΟΣ,ΝΤΑΚΟΣ","1,79","1,79","1,79",13,"0,23","0,23","2,02","2,02","2,02","6,06","8,08",,,,,,,,
ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,,ΟΡΕΚΤΙΚΑ,OIK104,"€15,0",1,,"ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ","0,77","0,77","0,77",13,"0,10","0,10","0,87","0,87","0,87","2,61","3,48",,,,,ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,,"ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ, ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ, ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ, ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ, ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ",
ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,"€8,0",20,,"ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM","9,84","9,84","0,49",13,"1,28","1,28","11,12","0,56","0,56","1,67","2,22",,,,,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,,"ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM",
ΟΛΙΚΗΣ VEGETARIAN ,,ΤΥΛΙΧΤΗ ΠΙΤΑ,OIK512,,1,,"ΟΛΙΚΗΣ VEGETARIAN ,ΟΛΙΚΗΣ VEGETARIAN ,ΟΛΙΚΗΣ VEGETARIAN ,ΟΛΙΚΗΣ VEGETARIAN ,ΟΛΙΚΗΣ VEGETARIAN ","0,67","0,89","0,89",13,"0,09","0,12","1,00","0,76","1,00","3,01","4,02",,,,,,,,
ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,,ΠΡΩΙΝΟ,OIK512,,1,,"ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ","0,65","0,65","0,65",13,"0,08","0,08","0,74","0,74","0,74","2,21","2,95",,,,,,,,
ΠΑΙΔΙΚΗ,,ΠΙΤΣΑ,OIK512,"€10,0",1,,"ΠΑΙΔΙΚΗ,ΠΑΙΔΙΚΗ,ΠΑΙΔΙΚΗ,ΠΑΙΔΙΚΗ,ΠΑΙΔΙΚΗ","1,50","2,57","2,57",13,"0,20","0,33","2,90","1,70","2,90","8,71","11,61",,,,,,,,
ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,,ΟΡΕΚΤΙΚΑ,OIK104,"€6,0",5,,"ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ","7,19","7,19","1,44",13,"0,93","0,93","8,13","1,63","1,63","4,88","6,50",,,,,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,,"ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ",
ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ,,ΕΝΔΙΑΜΕΣΑ,OIK104,,1,,"ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ,ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ","2,43","2,43","2,43",13,"0,32","0,32","2,75","2,75","2,75","8,24","10,98","ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ,ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ",,,,,,"""ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ, ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ"", ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ, ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ, ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ",
ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ),,ΟΡΕΚΤΙΚΑ,OIK104,"€5,0",1,,"ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ),ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ)","0,61","0,61","0,61",13,"0,08","0,08","0,69","0,69","0,69","2,06","2,75",,,,,ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ),,"ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ), ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ)",
ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,,ΠΑΣΤΕΣ - ΡΙΖΟΤΑ,OIK104,"€10,0",1,,"ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ","1,76","1,76","1,76",13,"0,23","0,23","1,99","1,99","1,99","5,98","7,98",,,,,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,,"ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ, ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ, ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ, ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ, ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ, ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ",
ΠΕΠΕΡΟΝΙ,,ΠΙΤΣΑ,OIK512,"€11,0",1,,"ΠΕΠΕΡΟΝΙ,ΠΕΠΕΡΟΝΙ,ΠΕΠΕΡΟΝΙ,ΠΕΠΕΡΟΝΙ,ΠΕΠΕΡΟΝΙ,ΠΕΠΕΡΟΝΙ","1,73","2,80","2,80",13,"0,22","0,36","3,16","1,96","3,16","9,48","12,64",,,,,,,,
ΠΕΤΑΛΙ,,ΨΑΡΙΑ ΘΑΛΑΣΣΙΝΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,"€36,0",1,,"ΠΕΤΑΛΙ,ΠΕΤΑΛΙ,ΠΕΤΑΛΙ","7,14","7,14","7,14",13,"0,93","0,93","8,07","8,07","8,07","24,21","32,28",,,,,ΠΕΤΑΛΙ,,"ΠΕΤΑΛΙ, ΠΕΤΑΛΙ, ΠΕΤΑΛΙ",
ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,,ΠΙΤΣΑ,OIK512,"€11,5",1,,"ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ","1,88","2,01","2,01",13,"0,24","0,26","2,27","2,12","2,27","6,80","9,06",,,,,,,,
ΠΙΤΣΑ ΜΠΙΑΝΚΑ,,ΠΙΤΣΑ,OIK512,"€13,5",1,,"ΠΙΤΣΑ ΜΠΙΑΝΚΑ,ΠΙΤΣΑ ΜΠΙΑΝΚΑ,ΠΙΤΣΑ ΜΠΙΑΝΚΑ,ΠΙΤΣΑ ΜΠΙΑΝΚΑ,ΠΙΤΣΑ ΜΠΙΑΝΚΑ","0,10","1,17","1,17",13,"0,01","0,15","1,32","0,12","1,32","3,96","5,28",,,,,,,,
ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,,ΚΡΕΑΤΙΚΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,"€20,0",1,,"ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ","4,09","4,09","4,09",13,"0,53","0,53","4,63","4,62","4,63","13,88","18,50",,,,,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,,"ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ",
ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,,ΤΥΡΙΑ,OIK104,,1,,"ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ","2,91","2,91","2,91",13,"0,38","0,38","3,29","3,29","3,29","9,86","13,15",,,,,ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,,"ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ, ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ, ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ, ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ, ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ, ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ",
ΠΟΛΟ,,ΠΙΤΣΑ,OIK512,"€12,0",1,,"ΠΟΛΟ,ΠΟΛΟ,ΠΟΛΟ,ΠΟΛΟ,ΠΟΛΟ,ΠΟΛΟ,ΠΟΛΟ","2,01","3,08","3,08",13,"0,26","0,40","3,48","2,27","3,48","10,43","13,91",,,,,,,,
ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,,ΣΑΛΑΤΕΣ,OIK104,"€11,0",1,,"ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ","1,48","1,51","1,51",13,"0,19","0,20","1,71","1,68","1,71","5,12","6,83",,,,,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,,"ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ",
ΠΡΟΣΟΥΤΟ,,ΠΙΤΣΑ,OIK512,,1,,"ΠΡΟΣΟΥΤΟ,ΠΡΟΣΟΥΤΟ,ΠΡΟΣΟΥΤΟ,ΠΡΟΣΟΥΤΟ,ΠΡΟΣΟΥΤΟ,ΠΡΟΣΟΥΤΟ,ΠΡΟΣΟΥΤΟ,ΠΡΟΣΟΥΤΟ","3,68","7,12","7,12",13,"0,48","0,93","8,05","4,16","8,05","24,14","32,18",,,,,,,,
ΠΡΩΙΝΟΣ ΜΠΟΥΦΕΣ ,,ΠΡΩΙΝΟ,OIK512,,1,,,"0,00","0,00","0,00",13,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,,ΠΑΣΤΕΣ - ΡΙΖΟΤΑ,OIK104,"€16,0",1,,"ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ","3,05","3,05","3,05",13,"0,40","0,40","3,45","3,45","3,45","10,36","13,81",,,,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,,"ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ",
ΡΥΖΟΓΑΛΟ,,ΠΡΩΙΝΟ,OIK512,,1,,"ΡΥΖΟΓΑΛΟ,ΡΥΖΟΓΑΛΟ,ΡΥΖΟΓΑΛΟ,ΡΥΖΟΓΑΛΟ,ΡΥΖΟΓΑΛΟ,ΡΥΖΟΓΑΛΟ","4,63","4,63","4,63",13,"0,60","0,60","5,23","5,23","5,23","15,70","20,93",,,,,,,,
ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,,ΣΑΛΑΤΕΣ,OIK512,,1,,"ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ","1,67","1,74","1,74",13,"0,22","0,23","1,96","1,88","1,96","5,89","7,85",,,,,,,,
ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ,,ΣΑΛΑΤΕΣ,OIK512,,1,,"ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ","1,69","1,69","1,69",13,"0,22","0,22","1,91","1,91","1,91","5,73","7,63",,,,,,,,
