Ingredient,Supplier,Cost per kg,Select,Ingredient Category,Cost Kg w Composite,Composite cost,TOTAL/MERIDA (from Composite cost),Imported table,OIK104 MENU INGREDIENTS copy,datecreated,OIK104 MENU,OIK104 MENU copy,OIK104 MENU INGREDIENTS copy,SUPPLIES 2025,SUPPLIES 2026,Q 2025 (from SUPPLIES 2026),Q 2026 (from SUPPLIES 2026),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS
ΚΡΕΜΜΥΔΑΚΙΑ ΦΡΕΣΚΑ,,"1,70",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"1,70",,,"ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM",,5/4/2025 8:36am,,,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),,,,,"ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ, ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ)",
ΚΡΕΜΜΥΔΙ,,,CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,,,,"ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΧΕΛΙ ΚΕΡΑΜΙΔΙ,BIANCO",,9/4/2025 9:02am,,,,,,,,"ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΣΑΛΤΣΑ ΦΕΤΑΣ 1ΚΙΛΟΥ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΧΕΛΙ ΚΕΡΑΜΙΔΙ",
ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ,,"0,60",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"0,60",,,"ΦΑΒΑ 5 ΜΕΡΙΔΕΣ,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΧΩΡΙΑΤΙΚΗ YACHT CLUB,ΧΩΡΙΑΤΙΚΗ,ΧΤΑΠΟΔΙ ΠΛΟΚΑΜΙ,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΚΑΛΑΜΑΡΙ ΨΗΤΟ,ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΨΗΤΑ ΛΑΧΑΝΙΚΑ,ΜΠΕΡΓΚΕΡ YACHT CLUB,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,ΜΠΕΡΓΚΕΡ ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ",,5/4/2025 8:36am,,,"ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,ΣΟΥΒΛΑΚΙ ΧΟΙΡΙΝΟ ΜΕΡΙΔΑ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΜΠΕΡΓΚΕΡ ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,XΩΡΙΑΤΙΚΗ ΣΑΛΑΤΑ",,,,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΚΑΛΑΜΑΡΙ ΨΗΤΟ, ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΦΑΒΑ 5 ΜΕΡΙΔΕΣ, ΧΤΑΠΟΔΙ ΠΛΟΚΑΜΙ, ΧΩΡΙΑΤΙΚΗ, ΧΩΡΙΑΤΙΚΗ YACHT CLUB, ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ, ΨΗΤΑ ΛΑΧΑΝΙΚΑ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΜΠΕΡΓΚΕΡ YACHT CLUB, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ",
ΚΡΕΠΑ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,27",ΚΡΕΠΑ,"0,27","ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΚΡΕΠΑ ΝΟΥΤΕΛΑ",,16/5/2025 2:39pm,,,"ΚΡΕΠΑ ΝΟΥΤΕΛΑ,ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ",,,,,,
ΚΡΙΘΑΡΑΚΙ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,15",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,15",,,"ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ",,6/4/2025 8:28am,,,,,,,,"ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ",
ΚΡΙΘΙΝΟ ΠΑΞΙΜΑΔΙ,,"6,20",CONNECTED INGREDIENTS,ΑΡΤΟΣΚΕΥΑΣΜΑΤΑ,"6,20",,,"ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΝΤΑΚΟΣ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ",,8/4/2025 9:34pm,,,"ΝΤΑΚΟΣ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ",,,,,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,
ΚΡΙΤΑΜΑ,,,CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,,,,,,8/4/2025 9:25pm,,,,,,,,,
ΚΡΙΤΑΜΟ,,"13,70",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"13,70",,,"ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ",,8/4/2025 9:34pm,,,,,,,,"ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ",
ΚΡΟΚΟ ΚΟΖΑΝΗΣ,,"20,85",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"20,85",,,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,,8/4/2025 9:02pm,,,,,,,,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,
ΛΑΔΙ ΚΑΡΥΔΑΣ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","17,20",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"17,20",,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),,6/4/2025 8:28am,,,,,,,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),
ΛΑΔΙ ΤΡΟΥΦΑΣ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","40,32",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"40,32",,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,,6/4/2025 8:28am,,,,,,,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,
ΛΑΙΜ,ΜΠΕΛΟΣ,"2,78",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"2,78",,,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),,5/4/2025 8:36am,,,,,,,,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),
ΛΑΙΜ,ΜΠΕΛΟΣ,"2,78",CONNECTED INGREDIENTS,ΦΡΟΥΤΑ,"2,78",,,ΧΕΛΙ ΚΑΡΠΑΤΣΙΟ,,6/4/2025 8:18am,,,,,,,,ΧΕΛΙ ΚΑΡΠΑΤΣΙΟ,
ΛΑΥΡΑΚΙ,ΜΥΤΙΚΑΣ,"8,49",CONNECTED INGREDIENTS,ΨΑΡΙΑ,"8,49",,,"ΠΕΤΑΛΙ,ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ",,6/4/2025 8:25am,,,,"""ΛΑΥΡΑΚΙ, ΛΑΥΡΑΚΙ""",,,,"ΠΕΤΑΛΙ, ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ",
ΛΑΧΑΝΙΚΑ ΗΜΕΡΑΣ,,,CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,,,,ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,,8/4/2025 9:36pm,,,,,,,,ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,
ΛΕΜΟΝΙ,,"0,75",CONNECTED INGREDIENTS,ΦΡΟΥΤΑ,"0,75",,,"VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΦΑΒΑ 5 ΜΕΡΙΔΕΣ,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,ΧΟΡΤΑ ΕΠΟΧΗΣ,ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,BIANCO,ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ",,6/4/2025 8:18am,,,,,,,,"BIANCO, VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ, ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ, ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΦΑΒΑ 5 ΜΕΡΙΔΕΣ, ΧΟΡΤΑ ΕΠΟΧΗΣ, ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ",
ΛΕΜΟΝΙ ΞΥΣΜΑ,,,CONNECTED INGREDIENTS,ΦΡΟΥΤΑ,,,,ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,,9/4/2025 9:06am,,,,,,,,ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,
ΛΕΜΟΝΙ ΧΥΜΟ,,,CONNECTED INGREDIENTS,ΦΡΟΥΤΑ,,,,,,9/4/2025 9:06am,,,,,,,,ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,
ΛΕΝΤΙΝΟΥΛΑ,,"69,83",CONNECTED INGREDIENTS,ΜΑΝΙΤΑΡΙΑ,"69,83",,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,,6/4/2025 8:26am,,,,,,,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,
ΛΕΥΚΟ ΚΡΑΣΙ,,,CONNECTED INGREDIENTS,ΠΟΤΑ,,,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,,8/4/2025 9:04pm,,,,,,,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,
ΛΙΑΣΤΗ ΤΟΜΑΤΑ (3κ/τμχ),"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","2,22",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"2,22",,,,,6/4/2025 8:28am,,,,,,,,,
ΛΙΝΑΡΟΣΠΟΡΟΣ ΟΛΟΚΛΗΡΟΣ,,"1,80",CONNECTED INGREDIENTS,SUPER FOOD,"1,80",,,,,6/4/2025 8:19am,,,,,,,,,
ΛΙΝΑΡΟΣΠΟΡΟΣ ΤΡΙΜΕΝΟΣ,,"2,10",CONNECTED INGREDIENTS,SUPER FOOD,"2,10",,,,,6/4/2025 8:19am,,,,,,,,,
ΛΙΠΟΣ ΧΕΛΙΟΥ ,,"54,00",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"54,00",,,"ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΧΕΛΙ ΚΕΡΑΜΙΔΙ",,10/4/2025 3:40pm,,,,,,,,"ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΧΕΛΙ ΚΕΡΑΜΙΔΙ",
ΛΟΛΛΑ ΚΟΚΚΙΝΗ,,"0,85",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"0,85",,,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,,5/4/2025 8:36am,,,,,,,,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,
ΛΟΥΚΑΝΙΚΑ,,"7,08",CONNECTED INGREDIENTS,ΑΛΛΑΝΤΙΚΑ,"7,08",,,"ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΛΟΥΚΑΝΙΚΟ",,8/4/2025 9:40pm,,,,,,,,"ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΛΟΥΚΑΝΙΚΟ",
ΛΟΥΚΑΝΙΚΑ ΧΩΡΙΑΤΙΚΑ,,"4,23",CONNECTED INGREDIENTS,ΑΛΛΑΝΤΙΚΑ,"4,23",,,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,,6/4/2025 8:22am,,,,,,,,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,
ΛΟΥΚΑΝΙΚΟ ΧΩΡΙΑΤΙΚΟ,,,CONNECTED INGREDIENTS,ΑΛΛΑΝΤΙΚΑ,,,,,,8/4/2025 9:41pm,,,,,,,,,
ΜΑΓΙΑ,,,CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,,,,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,,9/4/2025 9:18am,,,,,,,,"ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ",
ΜΑΓΙΟΝΕΖΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","3,17",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"3,17",,,"ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ,ΣΩΣ ΚΙΤΡΙΝΗ,ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,ΟΛΙΚΗΣ VEGETARIAN ",,6/4/2025 8:28am,,,ΟΛΙΚΗΣ VEGETARIAN ,,,,,"""ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ"", ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ, ""ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ, ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ"", ΣΩΣ ΚΙΤΡΙΝΗ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ",
ΜΑΙΝΤΑΝΟΣ,,"1,50",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"1,50",,,"ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,ΣΑΡΔΕΛΕΣ ΨΗΤΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ",,5/4/2025 8:36am,,,"ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ",,,,,"ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΣΑΡΔΕΛΕΣ ΨΗΤΕΣ, ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ), ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΣΑΛΤΣΑ ΦΕΤΑΣ 1ΚΙΛΟΥ, ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ",
ΜΑΝΙΤΑΡΙΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","2,14",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"2,14",,,"ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,Unnamed record,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΟΛΟ,ΣΠΕΣΙΑΛ,4 ΕΠΟΧΕΣ",,6/4/2025 8:28am,,,"ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,4 ΕΠΟΧΕΣ,ΣΠΕΣΙΑΛ,ΠΟΛΟ",,,,,ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,
ΜΑΝΙΤΑΡΙΑ ΠΛΕΥΡΩΤΟΥΣ,,"2,50",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"2,50",,,ΟΛΙΚΗΣ VEGETARIAN ,,7/5/2025 10:50am,,,ΟΛΙΚΗΣ VEGETARIAN ,,,,,,
ΜΑΝΟΥΡΙ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","12,69",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"12,69",,,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,,6/4/2025 8:21am,,,,,,,,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,
ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,,,CONNECTED INGREDIENTS,COMPOSITE,"1,53",ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,"1,53",,,9/4/2025 8:52am,,,,,,,,,
ΜΑΡΜΕΛΑΔΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,70",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,70",,,,,6/4/2025 8:28am,,,,,,,,,
